country,gender,race,how_old_are_you,overall_years_of_professional_experience
US,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,Asian or Asian American,25-34,5-7 years
United States of America,Woman,White,35-44,11 - 20 years
US,Woman,White,35-44,11 - 20 years
US,Woman,White,45-54,21 - 30 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,5-7 years
USA,Woman,White,25-34,5-7 years
USA,Man,White,25-34,5-7 years
USA,Woman,White,45-54,21 - 30 years
USA,Non-binary,"Hispanic, Latino, or Spanish origin, White",25-34,2 - 4 years
United States of America,Man,White,25-34,5-7 years
USA,Woman,Asian or Asian American,18-24,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,Woman,Black or African American,25-34,8 - 10 years
USA,Man,White,35-44,11 - 20 years
USA,Man,Black or African American,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,2 - 4 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,8 - 10 years
USA,Non-binary,White,25-34,2 - 4 years
United States of America,Woman,White,45-54,21 - 30 years
US,Woman,Black or African American,25-34,8 - 10 years
USA,Woman,Asian or Asian American,18-24,2 - 4 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,"Hispanic, Latino, or Spanish origin, White",18-24,2 - 4 years
USA,Woman,White,45-54,21 - 30 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,21 - 30 years
Usa,Woman,Black or African American,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Man,White,25-34,5-7 years
US,Woman,Another option not listed here or prefer not to answer,35-44,21 - 30 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,Black or African American,25-34,11 - 20 years
USA,Woman,Asian or Asian American,35-44,11 - 20 years
USA,Man,White,35-44,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,Asian or Asian American,18-24,5-7 years
US,Woman,White,25-34,8 - 10 years
USA,Woman,Asian or Asian American,35-44,21 - 30 years
USA,Woman,White,25-34,5-7 years
usa,Woman,White,35-44,8 - 10 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,Black or African American,25-34,8 - 10 years
Us,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,5-7 years
US,Woman,White,25-34,11 - 20 years
US,Woman,Asian or Asian American,25-34,5-7 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,5-7 years
US,Woman,Asian or Asian American,25-34,5-7 years
US,Woman,White,35-44,11 - 20 years
USA,Non-binary,White,18-24,2 - 4 years
US,Woman,Asian or Asian American,25-34,5-7 years
US,Non-binary,White,25-34,5-7 years
USA,Woman,Asian or Asian American,25-34,8 - 10 years
US,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Black or African American,25-34,2 - 4 years
USA,Woman,Asian or Asian American,25-34,8 - 10 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,White,45-54,21 - 30 years
United States of America,Man,White,25-34,5-7 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,18-24,1 year or less
USA,Woman,White,25-34,5-7 years
United States of America,Man,White,35-44,11 - 20 years
USA,Non-binary,White,25-34,5-7 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,25-34,5-7 years
USA,Woman,Another option not listed here or prefer not to answer,25-34,5-7 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,8 - 10 years
US,Woman,White,55-64,11 - 20 years
United States of America,Woman,White,25-34,2 - 4 years
US,Woman,White,55-64,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,2 - 4 years
USA,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
US,Man,White,35-44,11 - 20 years
USA,Woman,White,25-34,2 - 4 years
USA,Man,White,25-34,5-7 years
USA,Woman,Asian or Asian American,25-34,11 - 20 years
US,Woman,Asian or Asian American,35-44,11 - 20 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,11 - 20 years
USA,Man,White,45-54,21 - 30 years
USA,Woman,White,25-34,5-7 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,2 - 4 years
US,Woman,White,25-34,5-7 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,35-44,8 - 10 years
us,Woman,White,25-34,8 - 10 years
USA,Woman,White,18-24,2 - 4 years
US,Woman,White,35-44,11 - 20 years
USA,Man,White,35-44,21 - 30 years
US,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,21 - 30 years
US,Woman,Asian or Asian American,25-34,2 - 4 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
United States of America,Woman,White,25-34,5-7 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,18-24,2 - 4 years
USA,Man,Asian or Asian American,25-34,2 - 4 years
USA,Woman,Another option not listed here or prefer not to answer,25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Man,White,35-44,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
usa,Woman,White,25-34,5-7 years
USA,Woman,Asian or Asian American,25-34,8 - 10 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,45-54,8 - 10 years
USA,Man,Asian or Asian American,18-24,2 - 4 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,Another option not listed here or prefer not to answer,25-34,8 - 10 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,5-7 years
United States of America,Woman,White,25-34,5-7 years
USA,Man,White,45-54,21 - 30 years
USA,Woman,Asian or Asian American,25-34,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
United States of America,Woman,"Black or African American, Hispanic, Latino, or Spanish origin",18-24,2 - 4 years
USA,Woman,White,18-24,2 - 4 years
USA,Man,White,35-44,8 - 10 years
USA,Man,White,25-34,8 - 10 years
US,Woman,White,25-34,5-7 years
USA,Man,White,35-44,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin, White",35-44,11 - 20 years
US,Woman,White,25-34,11 - 20 years
US,Man,White,45-54,21 - 30 years
USA,Man,Asian or Asian American,25-34,2 - 4 years
US,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,2 - 4 years
United States of America,Woman,White,45-54,21 - 30 years
USA,Woman,Asian or Asian American,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Man,Asian or Asian American,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
Usa,Woman,White,18-24,1 year or less
USA,Woman,White,25-34,8 - 10 years
Usa,Man,White,45-54,8 - 10 years
US,Man,White,45-54,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,Asian or Asian American,18-24,1 year or less
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin",35-44,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
US,Woman,White,55-64,31 - 40 years
US,Woman,Black or African American,25-34,5-7 years
US,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,8 - 10 years
USA,Woman,Black or African American,18-24,2 - 4 years
USA,Woman,Asian or Asian American,25-34,2 - 4 years
USA,Woman,Asian or Asian American,25-34,5-7 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,"Asian or Asian American, White",25-34,5-7 years
US,Man,White,55-64,41 years or more
USA,Woman,Asian or Asian American,25-34,11 - 20 years
US,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Man,White,25-34,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,45-54,11 - 20 years
USA,Man,White,18-24,2 - 4 years
US,Woman,Asian or Asian American,25-34,5-7 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,White,25-34,5-7 years
US,Woman,NA,25-34,2 - 4 years
US,Woman,White,18-24,2 - 4 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,25-34,8 - 10 years
USA,Woman,"Hispanic, Latino, or Spanish origin",45-54,21 - 30 years
USA,Woman,White,25-34,11 - 20 years
USA,Man,Asian or Asian American,35-44,11 - 20 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
Usa,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,Asian or Asian American,35-44,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin",35-44,8 - 10 years
Usa,Man,White,35-44,21 - 30 years
US,Woman,"Asian or Asian American, White",25-34,8 - 10 years
USA,Man,"Hispanic, Latino, or Spanish origin",25-34,8 - 10 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,45-54,21 - 30 years
USA,Man,"Hispanic, Latino, or Spanish origin, White",35-44,11 - 20 years
USA,Woman,Black or African American,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Non-binary,White,25-34,8 - 10 years
USA,Woman,White,45-54,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
US,Non-binary,White,35-44,11 - 20 years
USA,Woman,"Middle Eastern or Northern African, White",35-44,8 - 10 years
USA,Woman,"Asian or Asian American, White, Another option not listed here or prefer not to answer",35-44,11 - 20 years
USA,Man,White,25-34,8 - 10 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,White,55-64,11 - 20 years
US,Woman,White,25-34,5-7 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,8 - 10 years
US,Man,"Hispanic, Latino, or Spanish origin, White",35-44,5-7 years
USA,Woman,White,35-44,8 - 10 years
US,Woman,Black or African American,25-34,5-7 years
USA,Man,White,35-44,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,"Asian or Asian American, White",25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,Other or prefer not to answer,Another option not listed here or prefer not to answer,25-34,8 - 10 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,5-7 years
US,Woman,White,25-34,2 - 4 years
Usa,Non-binary,White,25-34,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,55-64,31 - 40 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,35-44,21 - 30 years
USA,Man,White,35-44,11 - 20 years
US,Woman,White,35-44,21 - 30 years
USA,Woman,White,25-34,8 - 10 years
Us,Woman,White,25-34,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,25-34,8 - 10 years
USA,Woman,"Black or African American, White",25-34,8 - 10 years
USA,Woman,White,55-64,31 - 40 years
USA,Man,Asian or Asian American,25-34,11 - 20 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,45-54,21 - 30 years
USA,Woman,White,45-54,31 - 40 years
US,Man,"Hispanic, Latino, or Spanish origin, White",25-34,2 - 4 years
US,Man,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
US,Man,Asian or Asian American,25-34,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
United States of America,Non-binary,"Black or African American, Hispanic, Latino, or Spanish origin, Native American or Alaska Native, White",35-44,21 - 30 years
USA,Woman,White,45-54,11 - 20 years
USA,Man,White,35-44,8 - 10 years
USA,Woman,White,25-34,5-7 years
USA,Woman,Asian or Asian American,35-44,8 - 10 years
USA,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin, White",35-44,11 - 20 years
USA,Woman,Black or African American,25-34,8 - 10 years
USA,Woman,White,25-34,11 - 20 years
US,Woman,White,25-34,2 - 4 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
usa,Woman,Another option not listed here or prefer not to answer,25-34,8 - 10 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,35-44,8 - 10 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,25-34,1 year or less
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,35-44,21 - 30 years
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,25-34,11 - 20 years
Usa,Woman,Asian or Asian American,25-34,8 - 10 years
USA,Non-binary,"Hispanic, Latino, or Spanish origin, White",25-34,5-7 years
USA,Man,White,45-54,31 - 40 years
USA,Woman,Black or African American,35-44,11 - 20 years
USA,Woman,White,25-34,11 - 20 years
USA,Man,White,35-44,11 - 20 years
US,Woman,Black or African American,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Man,White,45-54,11 - 20 years
USA,Man,White,55-64,41 years or more
USA,Man,Black or African American,45-54,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,White,18-24,1 year or less
US,Woman,White,35-44,21 - 30 years
US,Woman,White,25-34,5-7 years
USA,Man,White,25-34,5-7 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,5-7 years
United States of America,Woman,White,25-34,5-7 years
USA,Woman,White,55-64,21 - 30 years
USA,Woman,"Hispanic, Latino, or Spanish origin, White",25-34,2 - 4 years
usa,Woman,White,25-34,5-7 years
US,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,2 - 4 years
usa,Woman,"Hispanic, Latino, or Spanish origin",35-44,11 - 20 years
USA,Woman,Middle Eastern or Northern African,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,2 - 4 years
USA,Man,White,55-64,21 - 30 years
US,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,Asian or Asian American,18-24,2 - 4 years
USA,Woman,Asian or Asian American,25-34,2 - 4 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
United States of America,Woman,White,35-44,11 - 20 years
Usa,Other or prefer not to answer,Another option not listed here or prefer not to answer,25-34,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,2 - 4 years
US,Woman,White,45-54,31 - 40 years
Usa,Woman,"Hispanic, Latino, or Spanish origin",35-44,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
United States of America,Woman,White,35-44,11 - 20 years
USA,Man,White,35-44,21 - 30 years
USA,Non-binary,"Middle Eastern or Northern African, White",25-34,5-7 years
USA,Woman,White,35-44,8 - 10 years
US,Woman,White,45-54,21 - 30 years
Usa,Woman,White,35-44,21 - 30 years
USA,Woman,Asian or Asian American,25-34,5-7 years
USA,Man,White,25-34,5-7 years
USA,Woman,White,35-44,11 - 20 years
usa,Woman,White,45-54,21 - 30 years
USA,Woman,White,55-64,21 - 30 years
usa,Man,White,35-44,11 - 20 years
USA,Woman,Black or African American,25-34,2 - 4 years
USA,Woman,White,25-34,2 - 4 years
USA,Man,White,25-34,11 - 20 years
USA,Woman,White,18-24,2 - 4 years
US,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
America,Other or prefer not to answer,Another option not listed here or prefer not to answer,35-44,8 - 10 years
USA,Man,White,65 or over,31 - 40 years
USA,Woman,White,25-34,2 - 4 years
USA,Woman,White,25-34,8 - 10 years
US,Woman,"Hispanic, Latino, or Spanish origin",25-34,2 - 4 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,25-34,5-7 years
USA,Man,"Hispanic, Latino, or Spanish origin, White",35-44,11 - 20 years
USA,Other or prefer not to answer,White,35-44,8 - 10 years
US,Woman,White,25-34,5-7 years
USA,Non-binary,White,35-44,21 - 30 years
United States of America,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,25-34,2 - 4 years
Usa,Woman,White,25-34,11 - 20 years
USA,Woman,White,25-34,2 - 4 years
US,Woman,White,25-34,5-7 years
US,Woman,White,25-34,5-7 years
United States of America,Man,White,25-34,8 - 10 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,65 or over,31 - 40 years
US,Woman,White,25-34,8 - 10 years
USA,Woman,White,25-34,8 - 10 years
USA,Woman,Asian or Asian American,35-44,8 - 10 years
USA,Woman,White,35-44,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,"Hispanic, Latino, or Spanish origin, Native American or Alaska Native",25-34,2 - 4 years
US,Woman,White,18-24,2 - 4 years
USA,Woman,White,45-54,21 - 30 years
US,Woman,White,45-54,21 - 30 years
USA,Man,NA,35-44,11 - 20 years
United States of America,Woman,White,18-24,1 year or less
USA,Woman,White,25-34,5-7 years
US,Man,White,35-44,11 - 20 years
US,Man,Another option not listed here or prefer not to answer,25-34,2 - 4 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Another option not listed here or prefer not to answer,35-44,11 - 20 years
US,Woman,Asian or Asian American,25-34,8 - 10 years
US,Woman,White,35-44,11 - 20 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,5-7 years
US,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,Black or African American,25-34,5-7 years
USA,Woman,Black or African American,45-54,11 - 20 years
USA,Woman,White,35-44,21 - 30 years
Us,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,2 - 4 years
US,Woman,Another option not listed here or prefer not to answer,45-54,21 - 30 years
US,Woman,Another option not listed here or prefer not to answer,25-34,2 - 4 years
usa,Woman,"Black or African American, White",25-34,5-7 years
USA,Man,White,35-44,11 - 20 years
USA,Woman,White,45-54,11 - 20 years
USA,Woman,White,25-34,5-7 years
United States of America,Woman,White,25-34,5-7 years
US,Woman,"Hispanic, Latino, or Spanish origin",35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,5-7 years
United States of America,Woman,Black or African American,25-34,2 - 4 years
USA,Woman,White,55-64,21 - 30 years
USA,Woman,"Asian or Asian American, White",25-34,5-7 years
USA,Woman,White,25-34,5-7 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,"Hispanic, Latino, or Spanish origin",25-34,8 - 10 years
USA,Woman,Asian or Asian American,25-34,5-7 years
USA,Woman,"Hispanic, Latino, or Spanish origin",45-54,21 - 30 years
USA,Woman,White,25-34,2 - 4 years
US,Woman,White,35-44,11 - 20 years
US,Woman,White,35-44,11 - 20 years
US,Woman,White,25-34,2 - 4 years
Usa,Woman,White,25-34,2 - 4 years
USA,Woman,"Asian or Asian American, White",25-34,8 - 10 years
USA,Woman,White,35-44,21 - 30 years
USA,Woman,White,45-54,11 - 20 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,Asian or Asian American,25-34,5-7 years
USA,Man,White,45-54,5-7 years
USA,Man,"Hispanic, Latino, or Spanish origin",25-34,5-7 years
USA,Man,Asian or Asian American,35-44,11 - 20 years
USA,Woman,White,18-24,2 - 4 years
USA,Woman,White,35-44,11 - 20 years
US,Woman,White,25-34,11 - 20 years
USA,Woman,White,35-44,21 - 30 years
USA,Woman,White,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
USA,Man,White,35-44,11 - 20 years
USA,Non-binary,White,25-34,5-7 years
US,Woman,Asian or Asian American,35-44,11 - 20 years
USA,Woman,White,25-34,8 - 10 years
Usa,Woman,White,25-34,5-7 years
